player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Kwan, Steven",680757,570,10.7,37.4,105.2,86.0,94.1,87.6,85.2,407,149,386.0,107,18.8,6,1.1,0.8,2023
"Semien, Marcus",543760,565,19.1,37.5,108.6,88.4,98.1,91.2,85.2,433,194,393.0,209,37.0,37,6.5,4.9,2023
"Acuña Jr., Ronald",660670,562,7.4,33.6,121.2,94.7,106.4,98.4,91.6,470,162,420.0,310,55.2,86,15.3,11.7,2023
"Arraez, Luis",650333,544,11.5,44.7,104.0,88.3,95.7,90.4,85.8,410,168,381.0,140,25.7,19,3.5,3.1,2023
"Ramírez, José",608070,544,18.0,36.8,111.6,90.0,100.1,92.2,90.6,431,179,402.0,220,40.4,38,7.0,5.5,2023
"Hoerner, Nico",663538,542,10.5,33.2,109.2,86.6,97.3,89.2,86.5,404,147,380.0,181,33.4,10,1.8,1.5,2023
"Bregman, Alex",608324,537,17.6,35.8,107.5,88.6,98.1,91.9,87.1,416,183,381.0,205,38.2,29,5.4,4.0,2023
"Witt Jr., Bobby",677951,529,15.7,34.4,113.8,90.7,102.1,94.4,88.3,442,180,411.0,241,45.6,61,11.5,8.8,2023
"McNeil, Jeff",643446,526,14.4,31.9,109.0,86.0,96.0,89.7,84.7,400,154,376.0,144,27.4,7,1.3,1.1,2023
"Freeman, Freddie",518692,521,15.2,46.6,110.6,90.0,100.6,93.5,85.1,442,190,400.0,220,42.2,58,11.1,7.9,2023
"Guerrero Jr., Vladimir",665489,506,10.5,32.4,116.7,92.1,104.1,95.3,91.3,450,160,404.0,249,49.2,56,11.1,8.2,2023
"Torres, Gleyber",650402,504,15.1,37.1,112.4,89.7,99.6,93.4,85.6,454,178,394.0,203,40.3,40,7.9,6.0,2023
"Albies, Ozzie",645277,497,16.6,37.4,110.7,88.7,98.7,92.8,84.3,425,187,388.0,194,39.0,41,8.2,6.2,2023
"Stott, Bryson",681082,494,10.1,36.4,108.0,88.1,97.4,91.3,86.3,424,156,386.0,174,35.2,23,4.7,3.6,2023
"Tucker, Kyle",663656,492,14.8,35.4,110.1,90.2,100.8,93.7,86.5,447,189,397.0,226,45.9,52,10.6,7.7,2023
"Bogaerts, Xander",593428,492,7.9,28.3,111.4,87.6,98.5,92.1,85.0,455,148,396.0,170,34.6,30,6.1,4.5,2023
"Rutschman, Adley",668939,492,12.6,37.0,111.1,88.4,99.6,92.7,84.2,461,168,400.0,190,38.6,37,7.5,5.4,2023
"Springer, George",543807,491,12.0,32.2,115.9,88.3,100.3,92.5,85.9,440,160,392.0,196,39.9,38,7.7,5.6,2023
"Turner, Trea",607208,490,13.0,36.1,110.8,89.9,100.3,93.8,86.1,424,177,397.0,207,42.2,41,8.4,5.9,2023
"Meneses, Joey",608841,484,9.4,32.9,110.8,89.4,99.9,92.9,88.2,428,149,394.0,202,41.7,26,5.4,4.0,2023
"Betts, Mookie",605141,482,20.6,42.5,110.1,92.4,100.9,95.7,87.2,436,215,396.0,234,48.5,60,12.4,8.7,2023
"Rodríguez, Julio",677594,481,8.5,31.8,116.7,92.7,104.1,96.5,90.1,454,158,394.0,250,52.0,57,11.9,8.0,2023
"Benintendi, Andrew",643217,477,14.5,40.7,109.1,86.6,95.5,89.0,84.3,402,170,383.0,129,27.0,14,2.9,2.3,2023
"Riley, Austin",663586,475,13.5,35.2,116.1,92.3,103.4,96.6,88.3,473,180,414.0,233,49.2,66,13.9,9.2,2023
"Lindor, Francisco",596019,472,19.2,35.8,112.4,91.2,100.8,94.5,89.2,439,187,398.0,207,43.9,49,10.4,7.1,2023
"France, Ty",664034,471,13.7,36.9,112.7,87.5,99.3,91.3,85.2,437,160,397.0,182,38.6,32,6.8,4.8,2023
"Bohm, Alec",664761,470,11.1,35.1,109.3,89.4,100.4,92.2,88.1,444,165,403.0,196,41.7,27,5.7,4.4,2023
"Arenado, Nolan",571448,467,16.9,33.0,110.3,88.8,99.3,92.8,86.0,429,167,393.0,178,38.1,34,7.3,5.6,2023
"Ruiz, Keibert",660688,467,15.3,39.4,110.1,87.4,97.3,91.2,85.8,431,170,389.0,149,31.9,27,5.8,4.8,2023
"Marte, Ketel",606466,465,10.7,30.8,117.1,91.1,101.6,93.6,90.3,453,159,399.0,199,42.8,37,8.0,5.7,2023
"Walker, Christian",572233,463,15.8,32.6,114.3,88.0,100.6,91.7,85.0,459,175,403.0,187,40.4,53,11.4,8.0,2023
"Lowe, Nathaniel",663993,461,7.2,36.7,111.2,89.8,101.1,93.3,87.5,430,154,399.0,192,41.6,30,6.5,4.1,2023
"Thomas, Lane",657041,459,10.8,36.8,111.4,88.5,100.2,94.6,83.9,440,167,403.0,187,40.7,44,9.6,6.5,2023
"Yoshida, Masataka",807799,458,3.9,29.5,112.3,89.0,100.1,92.9,87.1,447,135,393.0,186,40.6,30,6.6,5.2,2023
"Verdugo, Alex",657077,458,8.8,35.4,112.4,89.2,99.1,92.5,87.4,419,162,389.0,172,37.6,23,5.0,3.8,2023
"Bichette, Bo",666182,457,6.2,38.3,113.4,90.2,101.7,93.8,87.5,460,158,399.0,205,44.9,44,9.6,7.3,2023
"Devers, Rafael",646240,457,12.4,30.0,115.0,93.1,104.5,97.0,90.9,453,169,399.0,252,55.1,58,12.7,8.8,2023
"Turner, Justin",457759,454,16.5,36.8,108.2,89.5,98.6,92.7,86.3,447,187,390.0,177,39.0,26,5.7,4.2,2023
"Merrifield, Whit",593160,452,14.4,37.2,106.1,85.1,94.9,88.6,81.5,407,164,385.0,110,24.3,11,2.4,1.9,2023
"Giménez, Andrés",665926,452,13.1,29.9,108.8,84.8,96.7,89.4,82.8,419,147,388.0,122,27.0,25,5.5,4.1,2023
"Nimmo, Brandon",607043,451,12.2,33.3,112.0,91.8,101.5,94.8,90.4,445,171,405.0,216,47.9,43,9.5,6.3,2023
"Abrams, CJ",682928,451,13.5,32.2,112.5,87.4,98.8,92.6,84.0,417,158,391.0,162,35.9,31,6.9,5.0,2023
"Carroll, Corbin",682998,450,11.0,32.4,113.8,90.0,101.0,93.6,88.4,446,158,400.0,184,40.9,34,7.6,5.3,2023
"Santana, Carlos",467793,450,12.8,31.3,111.7,88.8,99.4,92.1,88.2,442,153,396.0,164,36.4,30,6.7,4.8,2023
"Gurriel Jr., Lourdes",666971,450,10.6,35.3,108.9,89.7,99.9,93.6,86.6,425,171,398.0,207,46.0,38,8.4,6.4,2023
"Peña, Jeremy",665161,450,5.5,32.2,111.6,88.0,99.1,91.3,86.4,432,136,388.0,161,35.8,18,4.0,2.8,2023
"Castellanos, Nick",592206,447,14.4,36.5,111.2,88.9,100.4,93.4,84.6,454,177,396.0,193,43.2,46,10.3,6.9,2023
"Steer, Spencer",668715,447,15.3,35.3,110.6,88.7,99.2,92.9,86.2,441,176,400.0,166,37.1,30,6.7,4.5,2023
"Soto, Juan",665742,445,6.7,28.5,115.3,93.2,104.5,98.7,89.2,463,155,415.0,246,55.3,58,13.0,8.2,2023
"Olson, Matt",621566,445,16.1,31.0,118.6,93.7,104.8,97.2,89.9,464,194,411.0,247,55.5,73,16.4,10.1,2023
"Santander, Anthony",623993,443,20.2,33.0,113.0,90.6,101.7,94.5,89.7,428,183,400.0,204,46.0,45,10.2,6.9,2023
"Reynolds, Bryan",668804,442,10.9,36.9,112.6,90.9,101.0,94.1,87.9,436,169,405.0,209,47.3,49,11.1,7.7,2023
"De La Cruz, Bryan",650559,442,11.8,41.0,111.0,89.9,100.3,93.8,86.2,428,171,400.0,188,42.5,39,8.8,6.2,2023
"Torkelson, Spencer",679529,440,17.1,33.2,112.7,91.8,102.7,95.8,88.6,440,185,400.0,223,50.9,62,14.1,9.1,2023
"Machado, Manny",592518,440,15.0,30.2,114.5,91.0,102.4,94.3,89.2,443,174,397.0,202,45.9,46,10.5,7.7,2023
"Vaughn, Andrew",683734,439,11.2,30.3,111.7,90.6,101.7,95.7,87.2,437,163,394.0,204,46.5,37,8.4,6.0,2023
"Tatis Jr., Fernando",665487,438,11.0,31.5,113.4,91.9,102.9,96.8,88.4,444,160,408.0,216,49.3,48,11.0,7.6,2023
"Smith, Dominic",642086,438,12.8,37.0,108.3,86.3,97.2,91.5,81.1,444,167,400.0,135,30.8,29,6.6,4.9,2023
"Goldschmidt, Paul",502671,435,12.8,35.6,111.7,91.3,102.4,95.8,87.0,444,174,404.0,221,50.8,52,12.0,7.6,2023
"Happ, Ian",664023,433,13.0,36.5,112.6,89.9,99.7,94.2,86.0,429,165,403.0,169,39.0,39,9.0,5.6,2023
"Díaz, Yandy",650490,433,5.7,30.5,114.5,93.4,104.3,95.1,92.9,440,149,404.0,234,54.0,41,9.5,6.8,2023
"Kim, Ha-Seong",673490,424,13.6,35.8,108.5,86.2,96.6,90.6,83.8,425,164,384.0,113,26.7,18,4.2,2.9,2023
"Bellinger, Cody",641355,424,17.2,38.0,109.2,87.9,97.7,91.0,84.7,438,184,397.0,133,31.4,26,6.1,4.7,2023
"Alonso, Pete",624413,421,18.2,32.3,115.7,89.5,102.3,95.6,84.4,466,185,410.0,169,40.1,62,14.7,9.4,2023
"Hernández, Teoscar",606192,421,12.3,35.2,112.6,91.3,103.0,97.4,85.4,446,173,408.0,208,49.4,58,13.8,8.6,2023
"Tovar, Ezequiel",678662,420,12.6,36.4,109.8,88.0,99.0,91.6,84.9,447,170,407.0,152,36.2,34,8.1,5.5,2023
"Contreras, William",661388,417,4.7,27.1,113.9,91.3,103.2,96.2,88.4,456,138,410.0,203,48.7,39,9.4,6.4,2023
"Abreu, José",547989,416,10.8,32.5,113.3,89.0,100.8,93.0,86.7,452,159,403.0,173,41.6,36,8.7,6.1,2023
"Bell, Josh",605137,416,9.3,31.3,114.0,90.1,101.6,93.4,87.7,464,157,401.0,179,43.0,42,10.1,6.8,2023
