player_name,player_id,year,pa,bip,ba,xba,est_ba_minus_ba_diff,slg,xslg,est_slg_minus_slg_diff,woba,xwoba,est_woba_minus_woba_diff,xwoba_gap,xslg_gap
"Duran, Jarren",680776,2024,735,515,0.285,0.271,0.0139999999999999,0.492,0.448,0.0439999999999999,0.357,0.338,0.0189999999999999,-0.01899999999999996,-0.043999999999999984
"Ohtani, Shohei",660271,2024,731,479,0.31,0.314,-0.004,0.646,0.659,-0.013,0.431,0.441,-0.01,0.010000000000000009,0.013000000000000012
"Henderson, Gunnar",683002,2024,719,475,0.281,0.283,-0.0019999999999999,0.529,0.492,0.037,0.381,0.374,0.007,-0.007000000000000006,-0.03700000000000003
"Semien, Marcus",543760,2024,718,546,0.237,0.251,-0.014,0.391,0.392,-0.001,0.306,0.314,-0.008,0.008000000000000007,0.0010000000000000009
"Soto, Juan",665742,2024,713,461,0.288,0.316,-0.028,0.569,0.645,-0.076,0.421,0.462,-0.041,0.041000000000000036,0.07600000000000007
"Witt Jr., Bobby",677951,2024,709,538,0.332,0.315,0.017,0.588,0.577,0.011,0.41,0.408,0.002,-0.0020000000000000018,-0.01100000000000001
"Judge, Aaron",592450,2024,704,390,0.322,0.31,0.012,0.701,0.722,-0.021,0.476,0.479,-0.003,0.0030000000000000027,0.02100000000000002
"Guerrero Jr., Vladimir",665489,2024,697,524,0.323,0.32,0.003,0.544,0.567,-0.0229999999999999,0.398,0.408,-0.0099999999999999,0.009999999999999953,0.02299999999999991
"De La Cruz, Elly",682829,2024,696,403,0.259,0.24,0.019,0.471,0.427,0.0439999999999999,0.349,0.327,0.0219999999999999,-0.021999999999999964,-0.043999999999999984
"Alonso, Pete",624413,2024,695,440,0.24,0.242,-0.002,0.459,0.461,-0.002,0.34,0.343,-0.003,0.0030000000000000027,0.0020000000000000018
"Tovar, Ezequiel",678662,2024,695,467,0.269,0.233,0.036,0.469,0.4,0.0689999999999999,0.324,0.288,0.036,-0.03600000000000003,-0.06899999999999995
"Schwarber, Kyle",656941,2024,692,384,0.248,0.256,-0.008,0.485,0.511,-0.026,0.366,0.38,-0.014,0.014000000000000012,0.026000000000000023
"Reynolds, Bryan",668804,2024,692,469,0.275,0.27,0.005,0.447,0.463,-0.016,0.343,0.35,-0.0069999999999999,0.006999999999999951,0.016000000000000014
"Lindor, Francisco",596019,2024,689,494,0.273,0.283,-0.0099999999999999,0.5,0.528,-0.028,0.363,0.379,-0.016,0.016000000000000014,0.028000000000000025
"Volpe, Anthony",683011,2024,689,486,0.243,0.234,0.0089999999999999,0.364,0.328,0.0359999999999999,0.287,0.275,0.0119999999999999,-0.011999999999999955,-0.035999999999999976
"Adames, Willy",642715,2024,688,440,0.251,0.243,0.008,0.462,0.461,0.001,0.342,0.339,0.003,-0.0030000000000000027,-0.0010000000000000009
"Ozuna, Marcell",542303,2024,688,440,0.302,0.286,0.016,0.546,0.572,-0.0259999999999999,0.395,0.402,-0.007,0.007000000000000006,0.025999999999999912
"Olson, Matt",621566,2024,685,435,0.247,0.247,0.0,0.457,0.447,0.01,0.339,0.34,-0.001,0.0010000000000000009,-0.010000000000000009
"Carroll, Corbin",682998,2024,684,471,0.231,0.241,-0.0099999999999999,0.428,0.392,0.0359999999999999,0.325,0.325,0.0,0.0,-0.035999999999999976
