Player,MLB_ID,Year,Max_EV,Avg_EV,Hard_Hit_Pct,Barrel_Pct,PA,AVG,OBP,SLG,OPS,wRC_Plus
"Abreu, José",547989,2015,114.9,91.0,41.8,9.3,668.0,0.29,0.347,0.502,0.85,131.0
"Ackley, Dustin",554429,2015,109.6,90.8,42.5,6.5,264.0,0.231,0.284,0.429,0.712,94.0
"Adams, Matt",571431,2015,110.1,89.1,34.8,5.9,,,,,,
"Ahmed, Nick",605113,2015,107.2,86.0,22.4,1.7,459.0,0.226,0.275,0.359,0.634,66.0
"Almonte, Abraham",501659,2015,110.1,88.8,34.1,5.9,258.0,0.25,0.31,0.409,0.719,95.0
"Alonso, Yonder",475174,2015,107.8,87.8,33.7,3.2,402.0,0.282,0.361,0.381,0.742,110.0
"Altuve, Jose",514888,2015,106.5,86.1,28.6,3.1,689.0,0.313,0.353,0.459,0.812,124.0
"Amarista, Alexi",506560,2015,104.1,85.6,16.2,1.1,357.0,0.204,0.257,0.287,0.544,48.0
"Andrus, Elvis",462101,2015,109.8,87.3,27.1,1.5,661.0,0.258,0.309,0.357,0.667,78.0
"Aoki, Norichika",493114,2015,104.9,85.4,19.6,0.9,392.0,0.287,0.353,0.38,0.733,109.0
"Arenado, Nolan",571448,2015,110.2,90.6,40.2,8.3,665.0,0.287,0.323,0.575,0.898,121.0
"Asche, Cody",605125,2015,109.0,87.2,33.0,5.7,456.0,0.245,0.294,0.395,0.689,86.0
"Avila, Alex",488671,2015,109.0,91.2,48.7,10.6,219.0,0.191,0.339,0.287,0.626,82.0
"Aviles, Mike",449107,2015,106.4,86.8,30.6,0.8,317.0,0.231,0.282,0.317,0.599,63.0
"Aybar, Erick",430947,2015,108.1,85.7,19.4,0.9,638.0,0.27,0.301,0.338,0.639,78.0
"Barmes, Clint",425549,2015,103.8,83.7,15.5,2.6,224.0,0.232,0.281,0.353,0.633,75.0
"Barnes, Brandon",488681,2015,108.3,86.9,25.3,1.1,281.0,0.251,0.314,0.341,0.655,64.0
"Barnhart, Tucker",571466,2015,104.1,85.6,19.3,0.5,274.0,0.252,0.324,0.326,0.65,76.0
"Bautista, José",430832,2015,116.3,92.0,45.6,12.6,666.0,0.25,0.377,0.536,0.913,148.0
"Beckham, Gordon",493596,2015,105.6,84.7,23.1,1.2,237.0,0.209,0.275,0.332,0.607,66.0
"Beckham, Tim",542921,2015,109.5,87.0,37.7,5.8,223.0,0.222,0.274,0.429,0.702,91.0
"Belt, Brandon",474832,2015,109.4,89.8,41.8,10.0,556.0,0.28,0.356,0.478,0.834,132.0
"Beltrán, Carlos",136860,2015,112.8,90.6,41.9,5.8,531.0,0.276,0.337,0.471,0.808,119.0
"Beltré, Adrian",134181,2015,109.8,89.5,40.4,5.5,619.0,0.287,0.334,0.453,0.788,109.0
"Bethancourt, Christian",542194,2015,111.2,87.3,31.1,2.5,,,,,,
"Betts, Mookie",605141,2015,110.3,90.4,37.5,5.5,654.0,0.291,0.341,0.479,0.82,120.0
"Bird, Greg",595885,2015,110.8,93.0,53.3,15.2,,,,,,
"Blackmon, Charlie",453568,2015,110.1,86.8,29.0,3.7,682.0,0.287,0.347,0.45,0.797,103.0
"Blanco, Andrés",433217,2015,106.9,87.1,26.6,5.2,261.0,0.292,0.36,0.502,0.863,137.0
"Blanco, Grégor",453923,2015,108.5,87.2,31.7,2.2,372.0,0.291,0.368,0.413,0.781,117.0
"Bogaerts, Xander",593428,2015,111.8,88.0,33.8,2.5,654.0,0.32,0.355,0.421,0.776,111.0
"Bour, Justin",571506,2015,115.0,90.8,43.0,8.7,446.0,0.262,0.321,0.479,0.8,119.0
"Bourgeois, Jason",430652,2015,104.3,84.6,22.0,1.2,212.0,0.24,0.294,0.332,0.625,72.0
