Player,MLB_ID,Year_From,Year_To,Delta_Max_EV,Delta_Hard_Hit_Pct,MADDUX_Score,Delta_OPS
"Ruiz, Carlos",434563,2015,2016,3.2,18.9,42.89,0.138
"Rupp, Cameron",519237,2015,2016,3.2,12.3,29.03,0.075
"Markakis, Nick",455976,2015,2016,5.8,9.0,24.7,-0.002
"Gillaspie, Conor",543216,2015,2016,2.2,10.6,24.46,0.12
"Joyce, Matt",459964,2015,2016,0.7,11.1,24.01,0.302
"Young, Chris",455759,2015,2016,1.2,10.6,23.46,0.077
"Flowers, Tyler",452095,2015,2016,4.3,8.9,22.99,0.125
"Ramírez, José",608070,2015,2016,4.0,8.9,22.69,0.194
"Rodríguez, Sean",446481,2015,2016,-0.4,10.7,22.07,0.217
"Pearce, Steve",456665,2015,2016,4.2,8.4,21.84,0.156
"Beckham, Gordon",493596,2015,2016,2.9,8.9,21.59,0.034
"Descalso, Daniel",518614,2015,2016,0.4,9.7,20.77,0.166
"Loney, James",425766,2015,2016,-0.8,10.0,20.2,0.023
"Bourjos, Peter",488721,2015,2016,3.3,8.0,20.1,0.058
"LeMahieu, DJ",518934,2015,2016,3.9,7.7,20.07,0.165
"Martinez, Victor",400121,2015,2016,1.3,8.9,19.99,0.159
"Pérez, Hernán",541650,2015,2016,0.2,9.4,19.94,0.146
"Hardy, J.J.",429666,2015,2016,1.8,8.5,19.65,0.152
"Santana, Danny",542454,2015,2016,-2.2,10.4,19.64,0.074
"Castro, Jason",488771,2015,2016,-0.8,9.4,18.94,0.036
"Altuve, Jose",514888,2015,2016,2.5,7.8,18.88,0.116
"Holliday, Matt",407812,2015,2016,2.2,7.9,18.79,-0.022
"Freese, David",501896,2015,2016,-2.9,10.1,18.31,0.021
"Calhoun, Kole",594777,2015,2016,0.7,8.3,18.13,0.055
"Zunino, Mike",572287,2015,2016,2.9,7.2,18.02,
"Marisnick, Jake",545350,2015,2016,1.3,7.8,17.68,-0.077
"Lind, Adam",452252,2015,2016,3.0,6.7,17.07,-0.103
"Beckham, Tim",542921,2015,2016,1.4,7.4,16.94,0.033
"Owings, Chris",572008,2015,2016,0.3,7.9,16.89,0.144
"Blanco, Andrés",433217,2015,2016,-1.4,8.7,16.87,-0.142
"DeShields, Delino",592261,2015,2016,0.2,7.9,16.79,-0.13
"Davis, Khris",501981,2015,2016,5.1,5.3,16.23,0.003
"Amarista, Alexi",506560,2015,2016,-0.6,7.9,15.99,
