Rank,Player,Age,2025_OPS,Predicted_Delta_OPS,Projected_2026_OPS,Confidence,Key_Factor
1,LaMonte Wade Jr.,31,0.524,+0.121,0.645,High,Deviation from baseline (+0.25)
2,Joc Pederson,33,0.614,+0.114,0.728,High,Career peak deviation (+0.29)
3,Henry Davis,25,0.512,+0.105,0.617,High,Large underperformance gap (67)
4,Anthony Santander,30,0.565,+0.092,0.657,High,Deviation from baseline (+0.24)
5,Tyler O'Neill,30,0.684,+0.091,0.775,High,Career peak deviation (+0.23)
6,Jose Iglesias,35,0.592,+0.090,0.682,High,Deviation from baseline (+0.24)
7,Jordan Walker,23,0.584,+0.089,0.673,High,Young age + high ceiling
8,Randal Grichuk,33,0.674,+0.088,0.762,High,Underperformance gap (38)
9,Nolan Jones,27,0.600,+0.082,0.682,High,Career peak deviation (+0.33)
10,Matt McLain,25,0.643,+0.079,0.722,High,Deviation from baseline (+0.22)
11,Michael Conforto,32,0.637,+0.076,0.713,High,Career peak deviation (+0.29)
12,Luke Raley,30,0.631,+0.076,0.707,High,Deviation from baseline (+0.17)
13,Alex Verdugo,29,0.585,+0.071,0.656,High,Career peak deviation (+0.26)
14,Marcell Ozuna,34,0.756,+0.070,0.826,High,Career peak deviation (+0.31)
15,Josh Rojas,31,0.512,+0.070,0.582,High,Career peak deviation (+0.24)
16,Luis Rengifo,28,0.622,+0.069,0.691,High,Deviation from baseline (+0.15)
17,Tyrone Taylor,31,0.598,+0.066,0.664,High,Underperformance gap (32)
18,Jake McCarthy,27,0.591,+0.065,0.656,High,Underperformance gap (30)
19,Michael Toglia,26,0.611,+0.063,0.674,High,Deviation from baseline (+0.16)
20,Mookie Betts,32,0.732,+0.063,0.795,High,Career peak deviation (+0.26)
21,Edouard Julien,26,0.633,+0.061,0.694,High,Underperformance gap (43)
22,Tyler Fitzgerald,27,0.606,+0.057,0.663,High,Deviation from baseline (+0.23)
23,Ryan Mountcastle,28,0.653,+0.057,0.710,High,Underperformance gap (27)
24,Parker Meadows,25,0.621,+0.054,0.675,High,Young player baseline
25,Andres Gimenez,26,0.598,+0.054,0.652,High,Career peak deviation (+0.24)
26,Oneil Cruz,26,0.676,+0.053,0.729,High,Underperformance gap (26)
27,Luis Robert Jr.,27,0.661,+0.053,0.714,High,Career peak deviation (+0.28)
28,Orlando Arcia,30,0.529,+0.053,0.582,High,Career peak deviation (+0.21)
29,Jake Burger,29,0.687,+0.053,0.740,High,Underperformance gap (28)
30,Yainer Diaz,26,0.701,+0.051,0.752,High,Underperformance gap (29)
